document_id,document_type,company_name,supplier_name,date,item_description,quantity,unit_price,raw_total_amount,final_total_amount,total_status,payable_amount,currency,status,language,raw_text,corrected_text,source_json,correction_log,correction_confidence,items_json
DOC00001,invoice,Prime Solutions,City Office Supplies,2024-04-14,Pens,9.0,8500.0,76500.0,76500.0,valid,76500.0,LKR,paid,english,,,,,,
DOC00002,invoice,ABC Traders,Metro Suppliers,2025-09-08,මේස,15.0,1200.0,18000.0,18000.0,valid,18000.0,LKR,paid,sinhala,,,,,,
DOC00003,delivery_note,Metro Lanka,ඩිජිටල් උපකරණ,2026-02-16,Mouse Devices,18.0,50.0,900.0,900.0,valid,900.0,LKR,unpaid,english,,,,,,
DOC00004,purchase_order,Prime Solutions,Tech World,2024-04-14,මේස,49.0,500.0,24500.0,24500.0,valid,24500.0,LKR,paid,sinhala,,,,,,
DOC00005,invoice,සහන් ට්‍රේඩර්ස්,ලංකා වෙළඳ සමාගම,2026-01-17,ආහාර පැකට්,17.0,50.0,850.0,850.0,valid,850.0,LKR,delivered,sinhala,,,,,,
DOC00006,delivery_note,XYZ Company,කාර්යාල උපකරණ,2025-01-05,Keyboards,41.0,2500.0,102500.0,102500.0,valid,102500.0,LKR,unpaid,english,,,,,,
DOC00007,invoice,Metro Lanka,Digital Hub,2025-01-24,Printer Paper,15.0,100.0,1500.0,1500.0,valid,1500.0,LKR,pending,english,,,,,,
DOC00008,purchase_order,Sun Holdings,ලංකා වෙළඳ සමාගම,2024-09-30,ලිපිගොනු,14.0,5000.0,70000.0,70000.0,valid,70000.0,LKR,paid,sinhala,,,,,,
DOC00009,receipt,Sun Holdings,ඩිජිටල් උපකරණ,2025-12-02,Chairs,18.0,5000.0,90000.0,90000.0,valid,0.0,LKR,pending,english,,,,,,
DOC00010,receipt,ABC Traders,ලංකා වෙළඳ සමාගම,2025-08-03,Chairs,18.0,100.0,1800.0,1800.0,valid,0.0,LKR,pending,english,,,,,,
DOC00011,delivery_note,ග්‍රීන් මාර්ට්,ඩිජිටල් උපකරණ,2024-09-09,USB Devices,17.0,120.0,2040.0,2040.0,valid,2040.0,LKR,pending,english,,,,,,
DOC00012,delivery_note,සහන් ට්‍රේඩර්ස්,City Office Supplies,2024-04-03,යතුරුපුවරු,33.0,1000.0,33000.0,33000.0,valid,33000.0,LKR,paid,sinhala,,,,,,
DOC00013,receipt,Sun Holdings,නව ආහාර සපයන්නෝ,2025-09-02,Mouse Devices,5.0,850.0,4250.0,4250.0,valid,4250.0,LKR,delivered,english,,,,,,
DOC00014,invoice,XYZ Company,කාර්යාල උපකරණ,2024-12-14,පුටු,50.0,5000.0,250000.0,250000.0,valid,250000.0,LKR,paid,sinhala,,,,,,
DOC00015,delivery_note,Sun Holdings,ඩිජිටල් උපකරණ,2024-09-26,මුද්‍රණ කඩදාසි,47.0,8500.0,399500.0,399500.0,valid,399500.0,LKR,unpaid,sinhala,,,,,,
DOC00016,purchase_order,සිංහ වෙළඳ සමාගම,සීග්‍ර සැපයුම්,2026-02-19,Pens,10.0,500.0,5000.0,5000.0,valid,5000.0,LKR,unpaid,english,,,,,,
DOC00017,purchase_order,නව වෙළඳසැල,Lanka Foods,2024-09-02,Printer Paper,24.0,220.0,5280.0,5280.0,valid,5280.0,LKR,paid,english,,,,,,
DOC00018,invoice,XYZ Company,ඩිජිටල් උපකරණ,2026-02-23,Printer Paper,49.0,1200.0,58800.0,58800.0,valid,58800.0,LKR,unpaid,english,,,,,,
